	SALWI	JUUBB	QGAER	HPEAZ	ZEPZZ	WEVTL	CHQAX	SCXTU	FZMUG	YYYZO	JWEIL
BLAKYEFOI	0.7182290649441634	0.6820860868872665	0.3675735263035653	0.4019719292152991	0.798403204108874	0.17744339360548278	0.6397407151681296	0.7356778810814687	0.9956123935510784	0.523271848293296	0.2892598277658085
YGIMEGNPA	0.48917551776159873	0.25256610923942857	0.6008572677802663	0.2219373496477951	0.7308226972723756	0.27277392867103734	0.5968923285912758	0.12279879826374918	0.9304909058345903	0.09912006196620049	0.13823778366676742
YZRSYTJXA	0.5482170756083219	0.19176909309614676	0.4232847842235369	0.08587549031399	0.4201271387261294	0.04788228637571024	0.9317634954501104	0.4336571926320736	0.44188409704284115	0.024010282915392533	0.6715499714003523
EKKHUWNYK	0.172776916400329	0.9107280167847592	0.9110766910195963	0.6408745763049887	0.9505084232274148	0.4363016242289116	0.523114750499364	0.5903906715616061	0.5425790248651796	0.9249892429288076	0.2832592642018763
CEDCXDTUJ	0.8910591134318255	0.266608735501598	0.8255999100717667	0.30383592876653087	0.09456907011166737	0.639886371816772	0.658353974006357	0.3430144212800572	0.9091113201003019	0.704617961000083	0.14206008666609848
RRBKVVIJG	0.5479592286325531	0.10528450695494629	0.617153541335826	0.7384452147457421	0.6124599549055745	0.41126438335718485	0.7831575551863678	0.7924323760039899	0.7980613037196344	0.25544125996467515	0.887681696263857
QHOKPVPKQ	0.9621097983832657	0.14440432649712698	0.13528626772057284	0.6794571467126046	0.1828755294581399	0.05089308817739946	0.874813653558347	0.8748288068509085	0.33275891673418123	0.3429575021737087	0.236137426440039
ESOCWWJIO	0.22322429870217175	0.1934261670368952	0.5074117562863979	0.19040853723657802	0.5226484100141137	0.3478062055302439	0.03348168721075573	0.5543139912804091	0.2595508465325881	0.35792434240809934	0.519039515141669
VBNQVWCMZ	0.6521386624965704	0.486987312059867	0.8110719579723352	0.15716369826983323	0.2318136222504903	0.6204840520638747	0.3210239887698384	0.11072388955471191	0.22045581462450137	0.70833909845817	0.0771857456369135
LJOOSRRYK	0.5538011861005949	0.5902569722462091	0.005417700225225808	0.21948168225318154	0.8406860356865589	0.5255271518985921	0.6739610189930912	0.17572776364405684	0.9433540392224057	0.3449496826747632	0.8334852787888946
GUQVJVQZO	0.8519463233516873	0.6514700771709149	0.46264826329454956	0.9910522628086157	0.7717413261552889	0.8565468742883928	0.23961890492442572	0.48908504226293115	0.8109184467745828	0.26177126594300104	0.9115679011375365
RASICZTFH	0.6232543301252511	0.31858185136413164	0.9376642403690543	0.11676467507922916	0.3657064479339217	0.9516667691545635	0.6135983107041901	0.3962900938934647	0.0017672524512341026	0.543546712513755	0.8951845418615375
BDCQIWVWC	0.9566560738945397	0.24094259022936082	0.9123066083944326	0.02440879206913793	0.20623365545085626	0.3689451636764499	0.17275051433008914	0.17931336463527814	0.541164386721655	0.5180468519349304	0.578061235303016
QIARUXVQI	0.5684168824174769	0.3675588827083569	0.7996100227708183	0.3162266900318066	0.944119230539559	0.5730436701800079	0.8095464117092291	0.1537669064393391	0.4142499936593613	0.7963898503669652	0.78634083995654
ZIACLCLUL	0.9682737341934375	0.2565174630964291	0.277062778736335	0.7226959656492487	0.045203130374423806	0.5653836572901034	0.536022833049506	0.8105765229534003	0.9961246661362133	0.705872156332886	0.11608802925776485
LXYRMCEDM	0.22218100318942013	0.39031561579207574	0.20878168990585966	0.5021386251788664	0.9534220931328489	0.33897317304970986	0.19245540098990355	0.9599007923452307	0.9958591751910427	0.03200872993046622	0.25544954201318504
OIGBJRUWL	0.27918766556601926	0.7102604161468359	0.8205151625294184	0.39131408597054207	0.3236051418232485	0.7744649863708096	0.2986039371832503	0.19623972545831403	0.3276182869215356	0.03258248414141596	0.90231885550754
HKBYNSTUD	0.6825397537642907	0.36520262394573155	0.3240970954224689	0.5316233558213354	0.7393248140835466	0.9178559761480503	0.9540416897822144	0.799848577651011	0.4607368434819952	0.07964420619086254	0.4541213101006307
BRFWFCLEV	0.8643799595834104	0.6310613347261147	0.11114643375557243	0.5627560038042266	0.2915635957185898	0.7697305216758658	0.001003551616793108	0.7416961070685152	0.6800259730870528	0.44276859558576454	0.8872996497473447
QTROXYSZL	0.8649905137709563	0.5591979526373154	0.24050693668999568	0.9438855928877774	0.6523252727687168	0.10379680322874507	0.3925455792412764	0.7785978204026825	0.354748760798686	0.02021979430652998	0.7011519738444738
EDHZQTLZV	0.8743973292039661	0.3870277879733932	0.02381811277649082	0.5926370570000686	0.5374295952916402	0.4769052281720513	0.8001164163930122	0.1196802371405411	0.2214091859480103	0.8418569420642681	0.48061594955556686
VYXIGZZVF	0.03313762448745716	0.8936108634206189	0.8961891763972226	0.2571061903075952	0.8586496778271846	0.46935080994698664	0.4502925910481539	0.4870253396185835	0.6880121368861937	0.6490803386571121	0.3376806686100322
JIEEBSZGS	0.8472453926353903	0.5721177912031702	0.03669533606640463	0.872335057954001	0.5489119655798654	0.9219152665775258	0.7827436937364688	0.9884875256523185	0.5421336108570249	0.5611477185751177	0.23495555721054617
