	TCGA-A5-A0G1	TCGA-A5-A0G3	TCGA-A5-A0G5	TCGA-A5-A0GA	TCGA-A5-A0GB	TCGA-A5-A0GD	TCGA-A5-A0GE	TCGA-A5-A0GG	TCGA-A5-A0GH	TCGA-A5-A0GI	TCGA-A5-A0GJ	TCGA-A5-A0GM	TCGA-A5-A0GN	TCGA-A5-A0GR	TCGA-A5-A0GU	TCGA-A5-A0GV	TCGA-A5-A0GX	TCGA-A5-A0R7	TCGA-A5-A0R8	TCGA-A5-A0RA
GAUSPIRAT	0.948538	0.470411	0.834692	0.79382	0.115711	0.98916	0.407709	0.4249	0.735061	0.967961	0.899871	0.423882	0.998902	0.199312	0.762465	0.982286	0.455369	0.370831	0.707909	0.74953
ZQHAJJHBU	0.213151	0.115194	0.813162	0.807677	0.733912	0.153406	0.862237	0.14493	0.0198597	0.196869	0.61292	0.791013	0.167328	0.95175	0.943542	0.0826622	0.945994	0.248958	0.0606683	0.973157
EMNQHKFHU	0.687267	0.219276	0.984807	0.245171	0.74536	0.356522	0.685051	0.0328092	0.30803	0.172319	0.361392	0.047102	0.573185	0.0591837	0.992872	0.686918	0.841004	0.238207	0.570164	0.972744
AIDBYQFWD	0.433509	0.401608	0.199667	0.40843	0.490161	0.0893749	0.594615	0.629889	0.822173	0.534871	0.837623	0.0737187	0.781629	0.649941	0.860702	0.536243	0.436803	0.294834	0.0836284	0.190788
EZPPQKUNV	0.855013	0.0150464	0.381002	0.573448	0.498565	0.50706	0.435569	0.662615	0.851215	0.563027	0.431528	0.853896	0.680559	0.514371	0.268998	0.542293	0.735841	0.586069	0.619109	0.827095
YOHRMXVIU	0.000573131	0.59243	0.855953	0.837706	0.902555	0.409134	0.104318	0.494368	0.735257	0.570216	0.016327	0.547604	0.853673	0.983097	0.695558	0.687543	0.664999	0.357851	0.205269	0.492679
SBKIKCYOL	0.116484	0.166058	0.313235	0.47059	0.277679	0.380028	0.313996	0.62512	0.909162	0.370493	0.937812	0.0525291	0.600991	0.24333	0.682877	0.576376	0.39163	0.621788	0.513558	0.24761
PUFCMBTVM	0.199653	0.115689	0.582334	0.138098	0.100535	0.133265	0.810141	0.677774	0.663989	0.954742	0.0498907	0.957258	0.554461	0.602125	0.907316	0.201398	0.337275	0.734256	0.565566	0.978131
WAEJORIZO	0.272355	0.108076	0.0244831	0.853082	0.248299	0.609909	0.181487	0.0899596	0.83925	0.233763	0.617166	0.329216	0.71864	0.972534	0.487359	0.526604	0.966503	0.233326	0.564398	0.997961
IQHLAZRUW	0.915814	0.232222	0.711291	0.603413	0.901788	0.680728	0.849089	0.0752016	0.864404	0.00869506	0.382858	0.223752	0.525738	0.310047	0.222139	0.0538599	0.668903	0.806247	0.732974	0.188992
ZPEIGIKNC	0.552608	0.402208	0.153928	0.018586	0.567264	0.141465	0.168118	0.85813	0.195465	0.738301	0.65546	0.20698	0.0556559	0.627689	0.351113	0.0919077	0.471551	0.0940808	0.858488	0.348752
BUZEXEOGC	0.902137	0.391982	0.851891	0.0193018	0.0714896	0.95348	0.696258	0.114963	0.724291	0.85579	0.352137	0.323884	0.368647	0.100322	0.511618	0.684082	0.647818	0.174923	0.312274	0.126253
QDJQCEORX	0.336017	0.12296	0.586627	0.35893	0.315178	0.504611	0.57644	0.0868472	0.703979	0.274467	0.222655	0.997564	0.522625	0.3017	0.328956	0.181117	0.41257	0.625892	0.0182374	0.0191245
RNVGQGIWS	0.0226947	0.0284342	0.263386	0.297307	0.987504	0.440433	0.558609	0.568656	0.467377	0.284641	0.653313	0.690407	0.337831	0.727014	0.876252	0.203384	0.238479	0.903859	0.209219	0.130187
NQVMIHNFN	0.331642	0.359587	0.669142	0.985612	0.487625	0.542512	0.197161	0.772483	0.000676074	0.148106	0.506994	0.581392	0.667026	0.112158	0.111238	0.433107	0.30585	0.284995	0.307436	0.926438
NFCGOKOZZ	0.780835	0.489415	0.0596968	0.735676	0.217945	0.856597	0.911651	0.386165	0.157372	0.985665	0.182561	0.369557	0.821473	0.678232	0.964034	0.0474096	0.0192928	0.645532	0.495884	0.598998
