	UDDSE	YVRLR	OLHXN	JXCLP	FJFHS	XOOBN	AXYTF
AAASKYLDR	0.583288	0.869696	0.337184	0.777422	0.577689	0.0615777	0.391267
ARARTETGK	0.560096	0.603171	0.574982	0.418067	0.765465	0.465887	0.0265424
BXLOSXZBD	0.481778	0.271875	0.268117	0.785009	0.119547	0.221122	0.573399
GTVXFFTSR	0.410416	0.957459	0.58019	0.316355	0.0354073	0.346374	0.932971
IOSIJZWXG	0.300951	0.979444	0.977429	0.860223	0.753513	0.475363	0.42619
KONMCBVOY	0.568654	0.182183	0.507811	0.269978	0.925807	0.0463598	0.782302
KSMJCSFMM	0.599884	0.000295819	0.691951	0.392975	0.139808	0.201443	0.420018
MPILUWTKU	0.79386	0.637038	0.859623	0.864524	0.112545	0.691766	0.989345
NWGZQVHUL	0.819528	0.82311	0.901851	0.4578	0.877375	0.0179047	0.841921
RWZKNXXLG	0.886983	0.639404	0.185245	0.386716	0.0369156	0.967999	0.763221
RXNAMIEOD	0.347432	0.999505	0.51005	0.65521	0.618122	0.532249	0.0742574
SACSCUYCP	0.898009	0.840288	0.716022	0.612684	0.449568	0.906096	0.817684
ZNUSAPEMV	0.604271	0.641702	0.132654	0.601822	0.369204	0.316546	0.00228395
